a cappella,dolce
non compos mentis,mad
non sequitur,episode
nonacceptance,nay
nonadherent,open
nonadmission,ban
nonage,nine
nonagenarian,dozen
nonaggressive,lax
nonaligned,even
nonattendance,cut
nonattendant,away
nonce,now
nonchalance,blah
nonchalant,blah
noncoherent,open
noncohesive,open
noncom,NCO
noncombatant,dovish
noncommissioned officer,NCO
noncommittal,cool
noncommitted,even
noncommunicable,ineffable
noncompetitive,joint
noncompletion,failure
noncompliance,nay
nonconforming,untrue
nonconformist,nut
nonconformity,kick
nonconvergent,even
noncooperative,con
nondenominational,total
nondescript,drab
none,nil
nonelastic,adamant
nonemotional,icy
nonentity,dud
nonessential,dinky
nonesuch,fat
nonetheless,but
nonexistent,away
nonfeasance,sin
nonfertile,dry
nonfiction,copy
nonfulfillment,laxity
nonfunctional,unfit
nonintellectual,rude
noninterference,line
noninterruption,tattoo
nonintervention,shy
noninvolvement,shy
nonliving,dumb
nonmandatory,free
nonobjective,biased
nonobservance,nay
nonobservant,deviant
nonoccupancy,opening
nonoccurrence,lack
nonopposing,abject
nonopposition,assent
nonpareil,ace
nonparticipation,policy
nonpartisan,even
nonperformance,culpa
nonperishable,undying
nonpermanent,dying
nonphysical,airy
nonplus,fix
nonplussed,beat
nonpolluted,fair
nonporous,firm
nonproductive,dry
nonrecognition,deafness
nonreligious,lay
nonresistance,assent
nonresistive,easy
nonrestrictive,lax
nonreturnable,inert
nonsectarian,total
nonsense talk,gab
nonsense,gas
nonsensical,mad
nonspecific,lax
nonspiritual,brute
nonstop,direct
nonuniform,odd
nonuniformity,odds
nonunion,divorce
nonviable,bad
nonviolence,calm
nonviolent,mild
nonworker,spiv
noodle,bean
nook,bay
noon,cap
noose,bag
noosphere,lift
norm,law
normal school,normal
normal,due
normality,run
normalize,fix
normally,mainly
normative,due
North Pole,pole
North Star,orb
north wind,bise
north,East
northeast,NNE
norther,bise
northerly,east
northern,east
northward,east
northwest,NNW
northwesterly,NNW
nose around,dig
nose count,poll
nose dive,cut
nose ring,fob
nose tickling,acid
nose,bow
nosegay,lei
nostalgia,goo
nostalgic,soft
nostril,neb
not a bit,none
not accept,deny
not admit,deny
not all there,mad
not at all,none
not bad,fair
not budge,balk
not buy,deny
not care for,nod
not comparable,base
not compare,fail
not cricket,beat
not done,beat
not easy,hard
not guilty,clear
not hesitate,lean
not in the mood,sulky
not kosher,beat
not listen,defy
not mind,defy
not right,mad
not surprised,agog
not swallow,deny
not to be believed,tall
not to be had,rare
not touch,save
not true,off
not with it,asleep
notability,VIP
notable,VIP
notably,amply
notarize,amen
notarized statement,note
notarized,avowed
notary,clerk
notate,map
notation,art
notch,col
notched,erose
note,IOU
notebook,log
noteworthy,rare
nothing of the kind,nay
nothing special,no prize
nothing,dud
nothingness,area
notice,ear
noticeable,bold
noticeably,quite
notification,gen
notify,tip
notion,bee
notional,moot
notoriety,cry
notorious,sad
notwithstanding,but
nought,nil
nourish,aid
nourishing,dining
nourishment,TLC
nouveau riche,cad
nova,NGC
novel,new
novelist,poet
novelty,fad
novena,Mass
novice,cub
now and then,now
nowhere,pole
nowise,never
noxious,bad
nozzle,neb
nth degree,all
nuance,cut
nubbin,bow
nubby,pily
nuclear fission,bullet
nuclear physics,optics
nuclear power,AEC
nuclear,mid
nucleus,NMR
nude,raw
nudge,cue
nudie,3-D
nudist,raw
nudzh,bug
nugatory,airy
nugget,bar
nuisance value,let
nuisance,ass
null and void,bad
null,bad
nullification,line
nullify,deny
nullity,dud
numb,cut
number among,fill
number one,ego
number,act
numbering,census
numberless,myriad
numbers,jam
numbing,icy
numbness,blah
numerate,list
numerative,odd
numeric,odd
numerical,odd
numerous,big
numinous,fey
numskull,fathead
nuncio,Iris
nuptial,sex
nuptials,banns
nurse,LPN
nursemaid,amah
nursery rhyme,ode
nursery,nest
nurseryman,florist
nursing home,home
nurture,TLC
nutriment,pap
nutrition,broil
nutritious,good
nuts about,bugs on
nuts,mad
nutshell,ace
nutty,fey
nuzzle,lap
nylon,mat
nymph,bug
nymphet,gal
nymphomania,itch
nymphomaniac,drab
oafish,fat
oak leaf,bar
oarsman,oar
oath,vow
oatmeal,mush
oats,hay
obdurate,bony
obedience,line
obedient,meek
obediently,anally
obeisance,bob
obeisant,prone
obelisk,cup
Oberon,Mab
obese,fat
obey,act
obfuscate,dim
obituary,cup
object lesson,case
object,aim
objectify,see
objecting,renitent
objection,ban
objectionable,base
objective,aim
objectivity,chill
objector,brawler
oblation,box
obligate,tie
obligated,tied
obligation,due
obligatory,must
oblige,aid
obliged,made
obliging,easy
oblique,sly
obliterate,blot
obliteration,blot
oblivion,coma
oblivious,out
oblong,cubed
obloquy,hit
obnoxious,low
oboe,sax
obscene,hot
obscenity,cuss
obscure,dim
obscured,hid
obscurity,fog
obsequious,low
observable,open
observance,ear
observant,agog
observation,ear
observatory,OAO
observe,eye
observer,ace
obsess,hex
obsessed,held
obsession,tic
obsessive,driving
obsolesce,age
obsolete,ago
obstacle,bar
obstetrician,oculist
obstinacy,guts
obstinate,con
obstreperous,loud
obstruct,bar
obstructed,back
obstruction,bar
obstructionist,brawler
obstructive,choking
obtain,bag
obtainable,open
obtrude,cast
obtrusive,bold
obtuse,dim
obverse,lap
obviate,bar
obvious,bald
obviously,quite
ocarina,sax
occasion,hap
occasional,ado
occasionally,by fits
Occident,Asia
occidental,east
occlude,bar
occlusion,fit
occlusive,lax
occult,dim
occultation,wipe
occultism,psychics
occupancy,feud
occupant,hirer
occupation,act
occupational disease,signs
occupational therapy,SAT
occupied,busy
occupy,hog
occur,hap
occurrence,ens
ocean depths,sea
ocean,sea
oceanic,sea
oceanographer,meter
oceanography,sonar
Oceanus,nix
ocelot,Leo
ocherous,buff
octagonal,octal
octane,gas
octave,book
octet,duo
octogenarian,dozen
octoroon,mule
ocular,eye
oculist,medic
odalisque,peon
odd job,job
oddball,fey
oddity,nut
odds and ends,end
Odin,Bor
odious,low
odium,hate
odor,air
odorizer,spray
odorous,bad
of course,aye
off and on,seesaw
off balance,canted
off base,bad
off chance,hope
off color,bad
off duty,off
off guard,lax
off key,off
off limits,taboo
off the wall,odd
offal,culm
offbeat,odd
offence,sin
offend,err
offender,crook
offense,cut
offensive,bad
offer,bid
offered,free
offering,bid
offertory,alms
offhand,airy
office boy,Hebe
office,aid
officeholder,ins
officer,ADC
official,fed
officialdom,them
officialese,bunkum
officiate,act
officious,bold
offish,icy
offscourings,end
offset,damp
offsetting,amends
offshoot,arm
offspring,get
often,oft
ogle,eye
ogre,cad
oily,fat
ointment,oil
old days,eld
old fogy,dad
old hat,set
old lady,hag
old line,set
old maid,fuss
old man,dad
old master,nude
old saw,corn
old story,eld
old timer,dad
old times,eld
old woman,dad
old world,Gothic
old-fashioned,old
older,dean
oldness,eld
olio,mix
olive,ivy
ology,art
Olympian,icy
Olympic gods,Ate
Olympics,bout
ombudsman,agent
omega,end
ominous,bad
omission,ban
omit,ban
omitting,bar
omnibus,all
omnipotence,glory
omnipotent,one
omnipresence,glory
omnipresent,one
omniscience,glory
omniscient,one
omnivorous,avid
on a par,par
on account of,for
on and on,ever
on board,here
on call,COD
on duty,busy
on edge,edgy
on guard,safe
on hand,own
on high,high
on ice,set
on paper,italic
on purpose,advisedly
on record,down
on tenterhooks,beat
on the ball,agog
on the beam,hep
on the brink,near
on the double,fast
on the fence,even
on the fritz,awry
on the go,busy
on the house,free
on the job,agog
on the level,open
on the lookout for,agog
on the lookout,wary
on the move,busy
on the other hand,but
on the rocks,broke
on the run,busy
on the shelf,old
on the side,too
on the spot,PDQ
on the verge,near
on the wagon,Stoic
on the wane,waning
on the way,brewing
on the whole,mainly
on trust,on tick
once,old
oncoming,dawn
one and all,all
one and only,ace
one by one,each
one horse,poky
one piece,monadal
one sided,bent
one upmanship,art
oneness,bill
onerous,hard
oneself,ego
onetime,old
ongoing,ado
onlooker,seer
only,but
onomatopoeia,fakery
onomatopoeic,apish
onrush,run
onset,hit
onslaught,bump
ontology,logic
onus,tax
onward,for
oodles,lot
ooze,goo
opacity,fog
opalescent,sad
opaque,dim
open air,out
open and aboveboard,open
open classroom school,alternate
open door,entry
open eyed,agog
open fire,open
open forum,gym
open market,fair
open minded,open
open sesame,VIP
open to question,iffy
open to,open
open up,aid
open,air
open-and-shut,set
opener,key
openhanded,big
openhearted,free
opening move,alpha
opening,col
openly,out
openmouthed,agog
openness,gush
opera house,club
opera singer,alto
opera,hit
operable,fit
operant,doer
operate on,rub
operate,act
operatic,ham
operating room,X ray
operating,going
operation,act
operational,going
operative,FBI
operator,doer
operetta,opera
operose,hard
ophthalmologist,oculist
opiate,hop
opine,let
opinion,eye
opinionated,set
opium,hop
opossum,ape
opponent,con
opportune,apt
opportunity,hap
oppose,ban
opposed,con
opposer,con
opposing,con
opposite number,foil
opposite,con
opposition party,camp
opposition,ban
oppositional,con
oppress,cow
oppressed,sad
oppression,bale
oppressive,down
oppressor,czar
opprobrium,abuse
oppugn,tug
optic,eye
optimal,best
optimism,hope
optimist,hoper
optimistic,agog
optimum,fat
option,put
optional,free
opulence,flow
opulent,fat
oracle,ana
oracular,mantic
orange,fig
orate,rant
oration,say
oratorio,glee
oratory,chapel
orbit,LEM
orbital,round
orbiting,gyre
orchard,pen
orchestra,box
orchestrate,set
orchestration,opus
orchestrator,scorer
ordain,bid
ordeal,try
order of the day,bill
order,apt
ordered,even
ordering,form
orderless,lax
orderly,Hebe
ordinal,odd
ordinance,act
ordinarily,oft
ordinary,bar
ordination,naming
ordnance,arms
ordure,pus
organ stop,oboe
organ,arm
organic,born
organism,ont
organization man,sheep
organization,ont
organize,fix
organized crime,Mafia
organized,lit
organizer,sire
orgasm,ass
orgasmic,hot
orgiastic,mad
orgy,bat
oriel,bay
orient,fix
Orient,Asia
Oriental,boy
oriental,east
orientation,aim
oriented,wont
orienter,guide
orifice,gap
origin,base
original,gut
originality,daring
originally,first
originate,bear
origination,dawn
originative,causal
originator,sire
orison,Ave
ornament,add
ornamented,beaded
ornate,busy
ornery,base
ornithology,anatomy
orotund,tall
orphan,heir
orthodox,anal
orthodoxy,line
orthogonal,cubed
orthopedic,dental
orthopedist,oculist
orts,end
oscillate,bob
oscillating,wobbly
oscillation,beat
oscillatory,even
oscilloscope,reader
osculate,bus
Osiris,Dis
osmose,blot
osmosis,export
ossified,set
ossify,firm
ossuary,pit
ostensible,airy
ostensibly,boldly
ostentation,face
ostentatious,busy
ostracism,ban
ostracize,ban
other directed,moved
other self,ego
other side,foil
other,new
otherwise,else
otherworld,fate
otherworldly,fey
otiose,off
ounce,ace
oust,lag
out cold,out
out group,mob
out in the open,open
out of bounds,high
out of character,inapt
out of commission,idle
out of control,lax
out of date,old
out of favor,lowly
out of focus,dim
out of hand,lax
out of humor,acid
out of it,out
out of joint,out
out of keeping,inapt
out of kilter,awry
out of line,bad
out of luck,sad
out of order,bad
out of phase,ray
out of place,bad
out of pocket,out
out of proportion,odd
out of reach,lost to
out of season,late
out of shape,soft
out of sight,bad
out of sorts,bad
out of the blue,sudden
out of the ordinary,rare
out of the question,never
out of the running,base
out of this world,bad
out of touch,icy
out of whack,awry
out of work,off
out of,out
out on a limb,open
out-and-out,born
out-of-the-way,odd
outage,gap
outback,back
outbreak,fit
outbuilding,hut
outburst,fit
outcast,alien
outclass,fix
outcome,end
outcrop,come
outcry,boo
outdated,old
outdistance,pass
outdo,cap
outdone,beat
outer space,area
outer,out
outermost,out
outfield,end
outfight,fix
outfit,arm
outflank,foil
outflow,jet
outflowing,gush
outgoing,exit
outgrow,brew
outgrowth,wen
outguess,foil
outhouse,can
outing,run
outlander,alien
outlandish,low
outlaw,ban
outlawed,taboo
outlawry,exile
outlay,pay
outlet,gap
outline,hem
outlook,eye
outlying,far
outmaneuver,fix
outmoded,old
outmost,out
outpatient,case
outperform,outdo
outpost,van
outpouring,flow
output,bit
outrage,bad
outrageous,sad
outrageously,too
outrank,head
outre,odd
outreach,dupe
outright,all
outrun,fix
outset,dawn
outshine,fix
outside chance,hope
outside of,bar
outside,bar
outsider,nut
outsize,huge
outskirts,burg
outsmart,con
outspoken,bold
outstanding,due
outstretched,open
outstrip,cap
outtalk,con
outward,out
outwardly,out
outweigh,cap
outwit,dupe
outworn,old
oval,gym
ovarian,luteal
ovary,bag
ovation,clap
over and above,over
over and over,oft
over,SOL
over-the-counter market,pit
overabundance,flood
overabundant,lavish
overact,ham
overacted,ham
overage,plus
overall,total
overambitious,wild
overanxious,wild
overawe,awe
overbearing,big
overblown,big
overburden,jam
overburdened,laden
overcast,CAT
overcharge,jam
overclouded,dark
overcoat,mac
overcome,cap
overcompensation,autism
overconfidence,gall
overconfident,rash
overconscientious,nice
overcritical,fussy
overcrossing,span
overdeveloped,high
overdo,puff
overdone,done
overdose,bag
overdraft,bust
overdraw,pad
overdrawn,puffed
overdress,dizen
overdrive,fag
overdue,due
overeager,mad
overelaborate,busy
overemphasis,tax
overemphasize,star
overenthusiastic,mad
overestimate,puff
overestimated,puffed
overexercise,overdo
overexert,tax
overexpansion,bloat
overextend,tax
overextension,haul
overexuberant,lavish
overfed,full
overfill,jam
overflow,fill
overflowing,fat
overfull,SRO
overgrow,bud
overgrown,high
overgrowth,excess
overhang,jut
overhanging,near
overhaul,fix
overhead,top
overheated,het
overindulge,overdo
overindulgent,lax
overjoyed,high
overkill,push
overlap,fat
overlarge,high
overlay,cap
overlie,jut
overload,jam
overloaded,lush
overlong,long
overlook,cut
overlooked,missed
overlord,boss
overly,too
overmaster,cow
overmatched,beat
overmuch,too
overnice,chichi
overpass,cap
overplay,outdo
overplayed,ham
overplus,plus
overpopulation,flood
overpower,jam
overpowered,beat
overpowering,heady
overprice,clip
overpriced,fancy
overprint,run
overreach,gyp
overreact,puff
overrefined,empty
overreligious,rabid
override,cow
overriding,main
overripe,bad
overrule,rule
overruling,arch
overrun,bud
overrunning,flood
overseas,alien
oversee,run
overseer,boss
oversell,puff
oversensitive,goosy
overset,sap
oversexed,sex
overshadow,dim
overshoot,land
oversight,eye
oversimplification,crudity
oversleep,nap
oversold,puffed
overspend,pay
overspread,cap
overstate,pad
overstated,puffed
overstep,pass
overstrain,fag
overstuffed,SRO
oversupply,tip
overt act,act
overt,bald
overtake,hit
overtax,fag
overthrow,end
overthrown,beat
overtime,bit
overtire,fag
overtone,air
overture,bid
overturn,sap
overvalue,adore
overview,head
overweening,cold
overweight,fat
overwhelm,awe
overwhelmed,agog
overwhelming,sure
overwork,fag
overworked,busy
overwrought,busy
overzealous,mad
ovoid,orb
ovule,egg
owing to,after
owing,due
own up,own
owner,lord
oxidation,mold
oxidize,eat
oxygen tent,gasp
oxygen,neon
oxygenate,air
oxymoron,crux
oyster,leg
PA system,mono
pace,bat
pacesetter,duce
pacific,calm
pacification,letup
pacifier,hop
pacifism,calm
pacifistic,mild
pacify,ebb
pacifying,dreamy
pack away,bag
pack in,admit
pack of troubles,care
pack off,cut
pack,ace
package deal,all
package tour,run
package,all
packaged,cased
packed,SRO
packet boat,homer
packet,tub
packing house,mill
packing,bush
padded,long
padding,fat
paddle,dew
paddy,fit
padlock,bar
padre,abbe
padrone,boss
paean,cry
pagan,rude
paganism,dark
page,age
pageant,hit
pageantry,dash
pagoda,dome
paid,let
pain in the neck,bore
pain killer,hop
pain,ail
pained,cut
painful,raw
painfully,badly
painless,easy
painstaking,exact
painstakingly,dingdong
paint the town red,lark
paint,bay
paintbrush,brush
painter,Leo
painting,oil
pair off,wed
pair,ace
paired,one
pairing,tie
paladin,hero
palaestra,gym
palatable,good
palatal,lax
palate,tip
palatial,fine
palaver,gab
pale,bar
paleface,boy
paleness,blur
paleography,IPA
paleolith,ruin
paleontology,botany
palette,brush
palindrome,pun
palinode,ode
palisade,arm
pall,irk
palladium,pad
pallet,mat
palliate,lay
palliative,balm
pallid,dim
pallor,hue
palm oil,fee
Palm Sunday,Lent
palm,and
palmy,fat
palooka,lug
palpable,real
palpitant,beating
palpitate,beat
palpitation,beat
palsied,weak
palsy,ague
palter,fib
paltry,low
paludal,miry
pampas,lea
pamper,pet
pamphlet,bill
pan out,end
pan shot,shot
panache,brio
pancake,land
pandect,code
pandemic,pest
Pandemonium,Eden
pandemonium,den
pander to,help
pander,bawd
pandit,don
pandowdy,pie
pane,bay
panegyric,laud
panel show,hit
panel,cut
paneling,log
panelist,ranter
pang,cut
panhandler,bum
panic,awe
panic-stricken,jumpy
panicked,beat
panicky,edgy
panning,smart
panoply,jam
panorama,copy
panoramic,wide
panpipe,sax
pansy,fag
pant,aim
Pantaloon,fool
pantaloon,elder
pantheism,deism
pantheistic,Arian
panther,Leo
panting,agog
pantomime,act
pants,bags
pantywaist,sop
papa,dad
paper profits,get
paper,IOU
paperback,book
papers,ana
papery,airy
papilla,bag
papilloma,bow
papoose,babe
pappy,dad
papule,sty
par value,low
parable,gest
parabola,arc
parabolic,mythic
parachute jump,dive
parachute,buoy
parade ground,gym
parade,air
paradiddle,beat
paradigm,lead
paradisal,ideal
paradise,bed
Paradise,fate
paradisiac,divine
paradox,crux
paradoxical,absurd
paraffin,gas
paragon,ace
paragraph,put
parallel,ape
paralleling,even
parallelism,par
paralogism,mode
paralysis,ague
paralytic,idle
paralyze,awe
paralyzed,out
parameter,norm
paramount,top
paramountcy,say
paramour,doxy
paranoid,schiz
paranymph,aid
parapet,bar
paraphernalia,kit
paraphilia,incest
paraphrase,key
parapsychology,psychics
parasite,fan
parasitic,lax
parasitism,union
parasol,gamp
paratroops,army
parboiled,baked
Parcae,Fata
parcel of land,lot
parcel out,fix
parcel post,RFD
parcel,bag
parch,dry
parched,dry
parchment,ice
pardner,ace
pardon,free
pardonable,venial
pardoned,spared
pare,ban
paregoric,hop
parent,root
parentage,line
parental,fond
parenthesis,aside
parenthetic,jerky
parenthetical,jerky
paresis,pox
parfum,balm
parget,dab
pariah,nut
paring,bit
parish,see
parity,low
park,lay
parkway,row
parlance,talk
parlay,bet
parley,deal
parliament,diet
parliamentarianism,Nazism
parliamentary,civic
parlor car,car
parlor,desk
parlous,bad
parochial,deaf
parochialism,alien
parody,ape
parol,oral
parole,gab
parolee,POW
paroxysm,fit
parquet,box
parricide,suicide
parrot,ape
parrotlike,echoic
parry,shy
parrying,chicane
parse,mark
parsimonious,lean
parsimony,care
parson,abbe
parsonage,casa
part and parcel,item
part company,part
part music,duo
part of speech,adverb
part time,bit
part with,cast
part,bit
partake,eat
partaking,company
parterre,box
parthenogenesis,birth
Parthian shot,cut
parti color,shot
partial to,mad on
partial,off
partiality,bag
partially,only
participant,aide
participate,join
participation,whole
participial,formal
participle,adverb
particle,ace
particular,hap
particularity,cut
particularization,cameo
particularize,cite
particularly,even
parting shot,cut
parting,end
partisan politics,polity
partisan,fan
partisanism,bias
partition,cut
partitioned,apart
partly,half
partner,ace
partnership,mob
parts,AFC
parturient,big
parturition,birth
party hack,Tory
party line,WATS
party,aid
parvenu,cad
pashadom,barony
pass away,die
pass by,cut
pass for,act
pass muster,bear
pass on,die
pass out,die
pass over,ban
pass the buck,fail
pass through,pay
pass up,cut
pass,bet
passable,dull
passage,act
passageway,gap
passbook,log
passe,ago
passed,ago
passenger,fare
passerby,fare
passing by,over
passing fancy,fad
passing,act
Passion play,hit
passion,bug
passionate,hot
passionately,hotly
passionless,icy
passive resistance,demur
passive,blah
passivity,blah
past due,late
past master,ace
past,ago
paste,bat
pastel,sad
pastiche,mix
pastime,fun
pastiness,anemia
pastor,abbe
pastoral staff,cane
pastoral,hit
pastorate,call
pastry,pie
pasturage,hay
pasture,hay
pasty,dim
pat on the back,abet
patch,bar
patchwork,mix
patchy,off
pate,pie
patent medicine,balm
patent,arm
patented,safe
patently,quite
pater,dad
paterfamilias,dad
paternal,fond
paternity,line
Paternoster,Ave
path,leg
pathetic,sad
pathfinder,fare
pathogen,bug
pathogenic,bad
pathological,bad
pathologist,oculist
pathology,signs
pathos,echo
pathway,run
patience,cool
patient,lax
patiently,loyally
patina,cut
patisserie,pie
patois,cant
patriarch,dad
patriarchal,old
patrician,duke
patricide,suicide
patrilineage,blood
patrilineal,sib
patrimony,entail
patrol,ply
patrolman,cop
patron,aid
patronage,aid
patronize,aid
patronizing,big
patsy,sap
patter,act
pattern,air
paucity,scant
paunch,gut
paunchy,fat
pauper,bum
pauperism,lack
pauperized,poor
pause,bar
pave the way,aid
pave,tar
pavement,bed
pavilion,hut
paw print,pad
pawky,sly
pawn,cog
pawnbroker,bank
pay attention,sue
pay back,pay
pay no attention to,cut
pay off,buy
pay out,fix
paying guest,hirer
paying,fat
payload,bird
paymaster,payer
payment,fee
payoff,end
payroll,pay
pea brained,inept
peabrain,fathead
peace of mind,cool
peace offering,box
peace officer,cop
peace,mum
peaceable,calm
peaceful,akin
peacefully,still
peacefulness,cool
peacemaker,balm
peacemongering,calming
peacetime,pax
peach fuzz,down
peach,ace
peachy,bad
peacock,dog
peacocky,perk
peak,all
peaked,pale
peaky,ill
peal,bay
pealing,ding
peanut gallery,box
peanut,nut
pearl,gem
pearliness,nacre
pearly,sad
peasant,cad
peasantry,vulgus
peashooter,gat
peat,gas
pebble,ace
pebbly,rocky
peccadillo,sin
peccant,bad
peck,bug
peculate,foul
peculiar,fey
peculiarity,cut
peculiarly,even
pedagogical,teachy
pedagogue,don
pedagogy,tuition
pedal,bar
pedant,sheep
pedantic,dry
pedantry,purism
peddler,arab
peddling,puny
pedestal,die
pedestrian,dim
pediatric,dental
pediatrician,oculist
pedicel,die
pedigree,line
peek,pry
peekaboo,thin
peel off,fly
peel,ban
peeler,bull
peep,bug
peepers,eye
peephole,eye
Peeping Tom,pry
peer,eye
peerage,FFVs
peerless,best
peeve,bug
peeved,angry
peevish,catty
peewee,elf
pejorative,catty
pelagic,naval
pelf,get
pell mell,ado
pell-mell,mad
pellagra,anemia
pellet,egg
pellicle,cut
pellucid,easy
pelt,bat
pen yan,hop
penal colony,pen
penalize,damn
penalty,cut
penance,pay
penates,Vesta
pence,mag
penchant,bent
pencil,dot
penciled,italic
pencraft,pen
pend,bag
pendant,bob
pendent,hung
pending,hung
pendulous,hung
pendulum,hum
penetrable,open
penetrate,cut
penetrating,icy
penetration,bore
penicillin,tylocin
peninsula,Asia
penis,bag
penitence,rue
penitent,sad
penitential,sorry
penitentiary,can
penmanship,fist
pennant,red
penned,beset
penny pinching,near
penny,fin
penology,pay
penscript,copy
pension off,aid
pension,aid
pensioner,ward
pensive,sad
pensiveness,study
penstock,gate
pent up,pent
Pentagonese,stagese
pentane,gas
Pentecost,Lent
penthouse,top
penurious,dirt
penury,lack
peonage,yoke
people,get
peopling,mooring
pep pill,coke
pep rally,firing
pep talk,say
pep up,fire
pepless,wan
pepper,bar
peppered,dotty
peppery,hot
peppy,gay
per capita,all
per se,once
perambulate,leg
perceivable,open
perceive,dig
percentage,bit
perceptible,open
perceptibly,clearly
perception,eye
perceptive,keen
perch,put
perchance,haply
percipient,acute
percolate,act
percolation,drip
percolator,sieve
percussion,jar
percussive,gong
perdition,pit
perdurable,aged
perdure,run
peregrinate,bum
peregrine,gad
peremptory,firm
perennial,old
perennially,ever
perfect,apt
perfected,SOL
perfection,end
perfectionist,rosy
perfectly,sic
perfervid,hot
perfidious,false
perfidy,deceit
perforate,fix
perforation,bore
perform,act
performable,doable
performance,act
performer,doer
performing,gag
perfume,balm
perfumed,balmy
perfumer,baker
perfunctory,airy
perfuse,cup
perfusion,graft
pergola,hall
perhaps,shot
perigee,LEM
peril,pass
perilous,bad
perimeter,hem
period style,foil
period,age
periodic,even
periodical,book
periodicity,hum
periodontic,dental
peripatetic,gad
peripheral,out
periphery,rim
periscope,scuba
perish,age
perishable,dying
peritonitis,gout
perjured,lying
perjurer,liar
perjury,fraud
perk up,lob
perks,fee
perky,gay
permanence,age
permanent,one
permanently,always
permeate,dye
permeated,awash
permeation,soak
permissible,okay
permission,aye
permissive,lax
permissiveness,culpa
permit,let
permitted,exempt
permutable,even
permutation,sport
pernicious,fatal
perorate,end
peroration,end
peroxide,dim
perpend,mind
perpendicular,axis
perpetrate,pay
perpetual,one
perpetually,ever
perpetuate,hold
perpetuation,run
perpetuity,age
perplex,ail
perplexed,beat
perplexing,arcane
perplexity,fix
perquisite,fee
persecute,bug
persecuted,beset
persecution,bore
Persephone,Ate
perseverance,run
persevere,balk
persevering,set
persiflage,mot
persist,hug
persistence,age
persistent,aged
persistently,long
person,bit
persona grata,gem
persona non grata,alien
persona,ego
personable,braw
personage,VIP
personal,dear
personality,VIP
personalization,change
personalize,mark
personate,act
personation,gag
personification,aping
personify,body
personnel,men
persons,men
perspective,ken
perspicacious,acute
perspicacity,eye
perspicuity,eye
perspicuous,easy
perspiration,sudor
persuadable,easy
persuade,con
persuaded,sure
persuasion,eye
persuasive,bait
pert,gay
pertain to,touch
pertain,bear
pertaining,ad rem
pertinacious,set
pertinacity,bigotry
pertinence,sum
pertinent,apt
pertness,brio
perturb,ail
perturbation,ado
perturbed,awry
perturbing,heady
perusal,cram
peruse,con
pervade,dye
pervasion,soaking
pervasive,born
perverse,con
perversely,sourly
perversion,sin
perversity,clashing
pervert,bias
perverted,bad
pervious,oozy
pesky,mean
pessimism,dread
pessimist,damp
pessimistic,low
pest,nag
pester,bug
pestered,beset
pestering,hit
pesthole,sty
pesticide,gun
pestiferous,bad
pestilence,bane
pestle,beat
pet peeve,beef
petal,flag
peter out,die
petit mal,fit
petite,poky
petition,Ave
petitioner,asker
petrification,ruin
petrified forest,ruin
petrified,set
petrify,awe
petrifying,terror
petrol,gas
petroleum,gas
petticoat,slip
pettifog,carp
pettifogger,crimp
pettifoggery,covin
pettiness,bigotry
petty,few
petulance,beef
petulant,sour
pewter,tin
peyote,DET
Phaethon,Ate
phalanx,mob
phallus,bag
phantasm,oni
phantasmagoria,form
phantasmagoric,airy
phantasmal,airy
phantom,air
phantomlike,airy
pharaoh,bey
pharisaic,oily
pharisaical,oily
pharisee,lip
pharmacology,botany
pharmacy,X ray
pharos,mark
pharyngeal,lax
pharynx,tip
phase,end
phenobarbital,hop
phenomenal,rare
phenomenology,logic
phenomenon,hap
Philadelphia lawyer,fox
philander,eye
philanderer,man
philanthropic,good
philanthropist,angel
philanthropy,aid
Philharmonic,band
philippic,say
Philistine,cad
philistine,boob
philological,lingual
philologist,clerk
philology,grammar
philosopher,Hahn
philosophical,calm
philosophy,cool
phlebitis,gout
phlebotomy,cupping
phlegm,pus
phlegmatic,dry
phobia,awe
Phoebe,fin
Phoebus,Ate
phonate,lip
phone book,atlas
phone,buzz
phoneme,mute
phonemic,lax
phonetic,lax
phonetician,linguist
phonetics,ablaut
phoney,fake
phonic,lax
phonograph record,wax
phonograph,mono
phonology,ablaut
phony,ape
Phosphor,orb
phosphor,wisp
phosphorescence,wisp
photo offset,onset
photo,3-D
photocopy,stat
photoelectric,static
photoemission,beam
photoengraving,onset
photogenic,3-D
photograph,mug
photographic equipment,lens
photographic,3-D
photography,art
photometry,optics
photon,NMR
photoplay,3-D
Photostat,mug
phrase,ana
phraseology,cant
phrasing,talk
phrenetic,mad
phylactery,ark
phylogenetic,direct
phylum,ilk
physic,balm
physical education,drill
physical,born
physician,doc
physiography,geodesy
physiology,botany
physiotherapy,biotherapy
physique,bod
phytology,botany
pianissimo,dim
piano,dim
pianoforte,grand
piazza,mart
pica,cap
picayune,bit
piccolo,sax
pick off,gun
pick out,ban
pick to pieces,carp
pick up,get
pick,adz
picked,best
picker,Bauer
picket,bar
picketing,beef
pickings,get
pickle,box
pickled,dry
pickling,curing
pickup,nab
picky,nice
picnic,fun
picot,cut
pictogram,art
pictograph,kana
pictographic,apish
pictorial,apish
picture show,3-D
picture,3-D
picturesque,busy
picturing,image
picturization,art
piddle,lag
piddling,poky
pie eyed,lit
piebald,bay
piece de resistance,fat
piece together,mix
piece,air
piecemeal,apart
pier,die
